"응답자특성별(1)","응답자특성별(2)",시점,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"응답자특성별(1)","응답자특성별(2)",시점,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차
"전체","소계",2014,72060,9.2,0.3,36470,14.0,0.4,35590,4.0,0.2
"전체","소계",2015,68043,7.8,0.3,35204,11.9,0.4,32839,3.2,0.2
"전체","소계",2016,65528,6.3,0.2,33803,9.6,0.3,31725,2.7,0.1
"전체","소계",2017,62276,6.4,0.2,31624,9.5,0.3,30652,3.1,0.2
"전체","소계",2018,60040,6.7,0.2,30463,9.4,0.3,29577,3.7,0.2
"전체","소계",2019,57303,6.7,0.2,29841,9.3,0.3,27462,3.8,0.2
"전체","소계",2020,54948,4.4,0.2,28353,6.0,0.2,26595,2.7,0.1
"전체","소계",2021,54848,4.5,0.1,28401,6.0,0.2,26447,2.9,0.1
"전체","소계",2022,51850,4.5,0.2,26397,6.2,0.2,25453,2.7,0.1
"전체","소계",2023,52880,4.2,0.1,26769,5.6,0.2,26111,2.7,0.1
"학년별","중1",2014,11661,1.7,0.2,6078,2.2,0.2,5583,1.1,0.2
"학년별","중1",2015,10786,0.9,0.1,5576,1.3,0.2,5210,0.5,0.1
"학년별","중1",2016,10483,0.8,0.1,5516,1.0,0.1,4967,0.5,0.1
"학년별","중1",2017,10189,0.7,0.1,5178,1.0,0.2,5011,0.5,0.1
"학년별","중1",2018,9847,0.8,0.1,4960,1.1,0.2,4887,0.4,0.1
"학년별","중1",2019,9738,1.0,0.1,5126,1.1,0.2,4612,0.8,0.2
"학년별","중1",2020,10005,0.7,0.1,5098,0.8,0.1,4907,0.7,0.2
"학년별","중1",2021,10016,0.8,0.1,5156,0.9,0.2,4860,0.7,0.1
"학년별","중1",2022,9240,0.8,0.1,4747,0.9,0.2,4493,0.7,0.1
"학년별","중1",2023,9646,0.9,0.1,4952,0.8,0.1,4694,1.0,0.2
"학년별","중2",2014,12275,4.1,0.2,6331,6.0,0.3,5944,2.1,0.2
"학년별","중2",2015,11442,3.2,0.2,6038,4.4,0.3,5404,1.9,0.2
"학년별","중2",2016,10517,2.3,0.2,5466,3.3,0.3,5051,1.3,0.2
"학년별","중2",2017,10377,3.2,0.2,5272,4.3,0.3,5105,2.0,0.2
"학년별","중2",2018,10092,3.2,0.2,5137,4.2,0.3,4955,2.2,0.3
"학년별","중2",2019,9665,3.5,0.2,5039,4.2,0.3,4626,2.6,0.3
"학년별","중2",2020,9564,1.6,0.1,4823,1.5,0.2,4741,1.6,0.2
"학년별","중2",2021,10235,1.8,0.1,5326,1.9,0.2,4909,1.7,0.2
"학년별","중2",2022,9346,2.2,0.2,4736,2.4,0.3,4610,1.8,0.2
"학년별","중2",2023,9344,2.1,0.2,4707,2.3,0.3,4637,1.9,0.2
"학년별","중3",2014,12220,7.9,0.3,6154,11.7,0.5,6066,3.7,0.3
"학년별","중3",2015,12071,5.3,0.3,6244,7.8,0.4,5827,2.5,0.2
"학년별","중3",2016,11219,4.2,0.2,5760,6.0,0.4,5459,2.1,0.2
"학년별","중3",2017,10319,4.9,0.3,5202,6.8,0.4,5117,2.8,0.3
"학년별","중3",2018,10290,4.9,0.3,5231,6.1,0.4,5059,3.6,0.3
"학년별","중3",2019,9981,5.0,0.3,5236,6.5,0.4,4745,3.5,0.4
"학년별","중3",2020,9392,3.0,0.2,4909,3.7,0.3,4483,2.3,0.2
"학년별","중3",2021,9764,3.0,0.2,5104,3.5,0.3,4660,2.5,0.2
"학년별","중3",2022,9429,3.1,0.2,4700,3.4,0.3,4729,2.8,0.3
"학년별","중3",2023,9411,3.5,0.2,4729,4.0,0.3,4682,3.0,0.3
"학년별","고1",2014,11824,11.3,0.5,6048,16.8,0.8,5776,5.4,0.5
"학년별","고1",2015,11122,9.1,0.5,5785,13.8,0.6,5337,3.9,0.4
"학년별","고1",2016,11355,7.1,0.4,5861,11.0,0.6,5494,2.9,0.3
"학년별","고1",2017,10165,7.0,0.4,5069,10.4,0.6,5096,3.3,0.3
"학년별","고1",2018,9260,7.7,0.4,4805,10.7,0.6,4455,4.4,0.4
"학년별","고1",2019,9273,8.3,0.4,4782,11.1,0.6,4491,5.3,0.5
"학년별","고1",2020,8907,4.8,0.3,4602,6.9,0.5,4305,2.6,0.3
"학년별","고1",2021,8461,5.4,0.3,4456,7.3,0.5,4005,3.4,0.4
"학년별","고1",2022,8461,5.1,0.3,4236,7.0,0.4,4225,3.0,0.3
"학년별","고1",2023,9078,4.3,0.2,4527,5.6,0.4,4551,2.9,0.3
"학년별","고2",2014,12152,13.5,0.6,6009,21.0,0.8,6143,5.5,0.4
